Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Калениченко,Азар,Ігорович,male,1965-08-26,Копірайтер,місто Южне,"провулок Кипарисний 2-й, буд. 84, Бахмач, 41778",+380 75 880 12 32,liza05@example.net
Нестайко,Альбіна,Олексіївна,female,1997-05-13,Менеджер з закупівель,хутір Єнакієве,"сквер Горбатий міст, буд. 4, Жданівка, 15915",+380 57 560-97-63,nshtokalo@example.com
Тимчук,Азар,Євгенович,male,2007-07-15,Дизайнер,селище Івано-Франківськ,"проспект Уютна, буд. 066, Новий Калинів, 24863",+380 (12) 369-61-28,oleksandr38@example.org
Бевз,Емілія,Тарасівна,female,1973-05-07,Менеджер з продажу,село Свалява,"узвіз Зої Космодем’янської, буд. 59, Слов'янськ, 39742",+380 93 962-49-86,andriievychemiliia@example.net
Михайличенко,Демид,Мар'янович,male,1974-07-10,Асистент керівника,хутір Бобринець,"сквер Радіальна, буд. 5, Коломия, 27360",+380 20 657-69-41,udovenkohanna@example.net
Скопенко,Єлисей,Костянтинович,male,1958-03-10,HR-менеджер,хутір Армянськ,"вулиця Весела, буд. 824, Путивль, 26501",018 708-90-75,iustyna35@example.com
Якимчук,Віолетта,Юріївна,female,1966-05-25,Бухгалтер,місто Буча,"парк Каретний, буд. 8, Вуглегірськ, 27635",+380 99 459-35-07,halynaorobets@example.org
Забашта,Людмила,Володимирівна,female,1996-02-07,Тестувальник,місто Батурин,"провулок Байкал тупик, буд. 00 кв. 48, Носівка, 61035",095 452 07 45,tetianashyian@example.org
Цибуленко,Розалія,Остапівна,female,1974-12-08,Кадровий менеджер,село Чорнобиль,"вулиця Літературна, буд. 004, Вільнянськ, 40379",887 22 87,kamilla81@example.org
Харченко,Альбіна,Петрівна,female,1968-08-30,Менеджер з продажу,місто Бердичів,"проспект Висоцького, буд. 05, Бахчисарай, 31250",+380 40 830-57-28,fmiroshnychenko@example.org
Архипенко,Клавдія,Назарівна,female,1954-05-18,Інженер з якості,село Галич,"площа Тепличний 1-й, буд. 74, Сквира, 55529",012 262 81 87,sofiiahuk@example.org
Гайдабура,Єфрем,Федорович,male,1939-06-03,PR-менеджер,селище Молочанськ,"площа П'ята, буд. 536 кв. 6, Ясинувата, 74734",433 63 27,davyd68@example.org
Червоненко,Олена,Остапівна,female,1940-07-21,Кадровий менеджер,селище Помічна,"площа Офіцерська, буд. 75 кв. 30, Яворів, 22443",+380 06 373-78-99,marusia04@example.com
Франко,Герман,Геннадійович,male,1949-09-13,Аудитор,місто Севастополь,"провулок Кедровий, буд. 955 кв. 14, Вільнянськ, 93952",064 526-27-28,valerii50@example.net
Демʼянюк,Ольга,Леонідівна,female,1977-06-21,Архітектор,хутір Галич,"сквер Деревообробний 3-й, буд. 842 кв. 2, Остер , 12783",024 810-37-01,amvrosiibabarychenko@example.org
Івасюк,Камілла,Григоріївна,female,1994-08-23,Системний адміністратор,хутір Покровськ,"площа Східчастий 4-й, буд. 8 кв. 9, Ямпіль, 74267",+380 89 368-24-83,anitashakhrai@example.com
Гайда,Симон,Костянтинович,male,1962-11-12,Кадровий менеджер,селище Ізюм,"набережна Миколи Плигуна, буд. 6, Дебальцеве, 09794",096 055-29-12,nvitruk@example.org
Удовиченко,Віолетта,Данилівна,female,1944-03-05,Копірайтер,хутір Гадяч,"сквер Десятого квітня, буд. 435, Барвінкове, 23220",157-17-56,cbaklan@example.org
Луценко,Анастасія,Тарасівна,female,1964-09-15,HR-менеджер,місто Алупка,"вулиця Пестеля, буд. 569, Ватутіне, 15985",157 13 25,snizhana77@example.org
Яременко,Степан,Борисович,male,1992-01-10,Аналітик даних,село Мирноград,"узвіз Ромашкова, буд. 540 кв. 96, Новоазовськ, 94735",+380 (47) 891-49-26,rzhurba@example.com
Саєнко,Леонід,Захарович,male,1967-12-06,Аналітик даних,село Канів,"провулок Пішонівська, буд. 636, Синельникове, 34442",+380 29 620-35-91,ggalagan@example.org
Туркало,Зиновій,Мар'янович,male,1997-01-24,Менеджер з маркетингу,селище Липовець,"шосе Каманіна, буд. 669, Володимир-Волинський, 36735",+380 30 510 63 23,prytulabohuslav@example.com
Фоменко,Алла,Остапівна,female,1940-11-07,Аналітик даних,місто Гайворон,"набережна Поперечний, буд. 0, Новогродівка, 79723",+380 15 157-89-75,anitahavrylyshyn@example.org
Рябченко,Ліза,Федорівна,female,1941-06-12,Аудитор,село Ворожба,"вулиця Леваневського, буд. 9 кв. 71, Алмазна, 04436",+380 02 288-19-87,qmasokha@example.net
Дейнеко,Антон,Геннадійович,male,1996-06-30,Менеджер з продукту,село Жовква,"узвіз Східчастий 4-й, буд. 353, Радивилів, 14842",+380 33 395-09-44,smykserhii@example.com
Шиян,Франц,Федорович,male,1945-02-18,Менеджер з продажу,місто Бердянськ,"парк Херсонський, буд. 170, Курахове, 39257",+380 (66) 983-18-56,iakiv85@example.com
Кириленко,Олена,Леонідівна,female,1965-05-12,Асистент керівника,село Тальне,"парк Ясна, буд. 69, Конотоп, 12758",022 980-07-10,fesenkohanna@example.net
Гресь,Мілена,Володимирівна,female,1956-07-09,HR-менеджер,місто Сновськ,"парк Побратимів, буд. 17 кв. 0, Первомайський , 78280",895-29-04,sdrozd@example.org
Данильчук,Опанас,Марківич,male,1973-01-08,Копірайтер,хутір Новоселиця,"провулок Богдана Хмельницького, буд. 699 кв. 69, Остер , 35212",151-21-65,rostyslav87@example.net
Дейсун,Франц,Олегович,male,1939-05-13,Менеджер з продажу,місто Тисмениця,"шосе Більшовицький, буд. 14 кв. 1, Герца, 54035",+380 58 510-23-13,volodymyrpavlyk@example.org
Карась,Клавдія,Володимирівна,female,1958-08-15,Дизайнер,село Джанкой,"узвіз Житомирський 4-й, буд. 767, Носівка, 12401",+380 57 594-43-84,parkhypenko@example.com
Цюпа,Святослав,Андрійович,male,1940-02-23,PR-менеджер,селище Овруч,"площа Аптекарський, буд. 8 кв. 85, Скадовськ, 41112",052 985 18 14,ielysaveta72@example.org
Овчаренко,Гліб,Олександрович,male,1980-06-29,Інженер з якості,село Чорнобиль,"площа Тополина, буд. 22, Слов'янськ, 53005",079 114-49-80,mykhailyna20@example.com
Нестеренко,Ярина,Станіславівна,female,2008-11-14,Менеджер з продажу,хутір Миргород,"площа 2-га Лінія 4-ї ст. Люстдорфської дороги, буд. 8 кв. 63, Обухів, 08897",+380 55 542-85-39,valerii50@example.net
Фартушняк,Алла,Данилівна,female,1946-02-24,Асистент керівника,місто Болехів,"провулок Пересипський міст, буд. 2, Новий Калинів, 77899",882 30 34,wpetryk@example.com
Таран,Гаврило,Романович,male,1971-07-13,Аналітик даних,хутір Ічня,"набережна Любашівський, буд. 3 кв. 271, Узин, 41511",+380 27 711 85 01,arsendubyna@example.net
Девдюк,Марія,Борисівна,female,1970-12-13,Менеджер з маркетингу,хутір Угнів,"набережна Аеропортівський 5-й, буд. 51, Красноперекопськ, 46245",813-86-64,orysia58@example.org
Сиротенко,Володимира,Геннадіївна,female,1968-08-04,Дизайнер,місто Джанкой,"вулиця Лінія 45-та, буд. 72, Шахтарськ, 25693",739 32 63,eshablii@example.org
Луценко,Богданна,Марківна,female,1951-02-04,Дизайнер,селище Міусинськ,"парк Лінія 53-тя, буд. 2 кв. 8, Миколаїв, 58810",+380 23 693-95-61,stovstolis@example.org
Девдюк,Варфоломій,Костянтинович,male,1981-03-22,Копірайтер,селище Дніпрорудне,"парк Сашка Хорошенка, буд. 874 кв. 855, Рудки, 67521",+380 53 538-66-59,gsatsiuk@example.com
Лубенець,Стефан,Федорович,male,1985-08-15,Менеджер з продукту,хутір Одеса,"проспект Бернардацці, буд. 2, Брянка, 72890",949 92 63,chuprynaazar@example.net
Вернигора,Богуслав,Борисович,male,2004-07-28,Системний адміністратор,село Українськ,"проспект 2-га Лінія Марії Демченко, буд. 223, Чернівці, 04095",133 49 57,smedvedenko@example.org
Лавренко,Алла,Володимирівна,female,1995-11-21,Аналітик даних,селище Київ,"сквер Балтський 7-й, буд. 627 кв. 50, Коломия, 90314",021 953-29-74,zhuravelarkadii@example.com
Захарченко,Едита,Олегівна,female,1990-03-22,HR-менеджер,селище Українськ,"сквер Косовський, буд. 923, Горлівка, 55310",+380 61 037-02-19,vdovenkoavhustyn@example.net
Дейнеко,Еріка,Романівна,female,1959-06-01,Менеджер з продажу,місто Іршава,"узвіз Угорська, буд. 354, Золочів, 89120",+380 88 911-21-32,esvyrydenko@example.org
Шеремет,Тереза,Тарасівна,female,1974-12-02,Системний адміністратор,село Буча,"проспект Пролетарський 3-й, буд. 716, Ямпіль, 35715",+380 77 151 61 93,turkalovasyl@example.org
Хмара,Мілена,Кирилівна,female,1951-09-08,Менеджер з маркетингу,хутір Скадовськ,"вулиця Вокзальна, буд. 4, Угнів, 60910",498 94 05,zynovii31@example.com
Вакуленко,Зорян,Євгенович,male,1980-01-12,Офіс-менеджер,селище Ківерці,"набережна Амурський 3-й, буд. 19, Сніжне, 08981",035 121-84-91,zsirchenko@example.com
Чубай,Левко,Тарасович,male,1955-01-07,HR-менеджер,село Горохів,"сквер Басейна, буд. 94, Сєвєродонецьк, 70792",826-43-99,fivashchenko@example.net
Архимович,Аліна,Павлівна,female,1996-07-24,Копірайтер,хутір Жидачів,"провулок Онезька, буд. 62 кв. 3, Перещепине, 10774",542 96 71,pfranko@example.org
Бабʼюк,Федір,Олексійович,male,1990-02-08,Копірайтер,селище Ічня,"вулиця Чорноморського козацтва, буд. 50 кв. 4, Ківерці, 51808",056 152-68-24,spasprotsenko@example.org
Вергун,Ірина,Леонідівна,female,1946-05-23,Менеджер з закупівель,селище Сватове,"парк Варненська, буд. 17, П'ятихатки, 03495",646 00 74,ierchenkoavhustyn@example.com
Носенко,Остап,Михайлович,male,1984-11-09,Менеджер з закупівель,місто Генічеськ,"сквер Студентський, буд. 49 кв. 707, Донецьк, 81423",+380 73 457 84 76,kostiantynisaienko@example.org
Дацюк,Дарина,Захарівна,female,1994-12-10,Системний адміністратор,місто Вінниця,"сквер Восьмого березня 4-й, буд. 38, П'ятихатки, 56614",+380 88 974 04 11,tetianaviter@example.com
Батюк,Азар,Геннадійович,male,1984-12-15,Менеджер з продукту,хутір Вараш,"площа Літакова, буд. 009 кв. 50, Бахмач, 64777",075 880-76-79,fbairak@example.net
Гресь,Соломон,Григорійович,male,1996-02-29,Аналітик даних,хутір Карлівка,"парк Верстатобудівна, буд. 593, Нікополь, 91564",+380 79 395-69-43,qkhudiak@example.com
Байрак,Аркадій,Тимофійович,male,1940-06-20,Інженер з якості,селище Кагарлик,"набережна Пассіонарії, буд. 4, Жмеринка, 10568",628-60-69,prytulaborys@example.net
Аверченко,Лесь,Костянтинович,male,2005-06-05,Кадровий менеджер,селище Радивилів,"площа Ватманський, буд. 7, Вільногірськ, 42796",078 263 71 75,olehopanasenko@example.com
Дурдинець,Клавдія,Назарівна,female,1942-10-04,Аналітик даних,село Хуст,"вулиця Банний, буд. 6, Перечин, 43587",065 598 72 53,iaroslavlaba@example.com
Гупало,Марія,Олександрівна,female,1987-04-14,Аналітик даних,хутір Христинівка,"парк Виноградний тупик, буд. 6, Керч, 70166",719-86-05,solomon40@example.net
Алексюк,Ярема,Леонідович,male,1995-11-12,Аудитор,селище Генічеськ,"провулок Супутників, буд. 40, Кам'янське, 36268",051 269 46 92,lukianpelekh@example.com
Стельмах,Назар,Андрійович,male,1993-05-11,Аналітик даних,селище Бориспіль,"сквер Гвардійська, буд. 306, Мала Виска, 61700",878-94-99,konoplenkopavlo@example.net
Затула,Ірена,Максимівна,female,2005-10-04,Асистент керівника,хутір Яремче,"площа Соляний 4-й, буд. 3, Бориспіль, 68934",609 28 35,nestormykhaliuk@example.com
Чміль,Камілла,Костянтинівна,female,1991-01-17,Фінансовий аналітик,селище Миронівка,"проспект Юннатів 3-й, буд. 2 кв. 7, Золотоноша, 76320",+380 (53) 314-73-77,adam98@example.net
Колесниченко,Камілла,Давидівна,female,1946-02-02,Копірайтер,місто Радивилів,"парк Донецька, буд. 6 кв. 88, Герца, 81221",173 83 83,illiavasylechko@example.org
Масоха,Микита,Васильович,male,2004-04-30,Асистент керівника,селище Богодухів,"проспект Улітіна, буд. 345, Алупка, 66649",091 182 49 86,demydtymchuk@example.org
Чумак,Леонід,Денисович,male,1949-04-20,HR-менеджер,селище Часів Яр,"узвіз Дідріхсона, буд. 3 кв. 318, Золотоноша, 74094",+380 21 350-34-79,iiesypenko@example.com
Дахно,Альбіна,Зеновіївна,female,2006-11-07,Кадровий менеджер,селище Семенівка,"вулиця Тираспольське, буд. 84 кв. 0, Первомайськ, 34828",007 496-32-90,symoniefymenko@example.net
Ніколюк,Богодар,Вікторович,male,1950-08-06,Інженер з якості,село Збараж,"вулиця Восьмого Березня Лінія 2-га, буд. 2, Миколаївка , 32683",017 743 57 71,rudkoliliia@example.com
Данчук,Оксенія,Романівна,female,2008-10-16,Фінансовий аналітик,селище Шаргород,"парк Амбулаторний 1-й, буд. 02 кв. 0, Покров, 78341",+380 66 368-67-08,isaienkooleh@example.net
Шамрай,Онисим,Борисович,male,1973-09-10,Системний адміністратор,село Володимир-Волинський,"сквер Михайла Божія, буд. 11, Перещепине, 46841",058 415-44-03,lytvynbohdanna@example.org
Шило,Володимир,Максимович,male,1998-09-28,Менеджер з маркетингу,місто П'ятихатки,"сквер Курортний 6-й, буд. 7, Олександрівськ, 35545",083 263 97 87,drobiazkopylyp@example.net
Романець,Петро,Олегович,male,1973-10-19,Копірайтер,село Фастів,"узвіз Дворянська, буд. 9 кв. 22, Донецьк, 27202",+380 25 857-22-08,cisaienko@example.com
Михалюк,Марина,Тимофіївна,female,1966-02-18,Менеджер з продукту,селище Лебедин,"сквер Нечипуренка, буд. 6 кв. 500, Єнакієве, 79566",098 396-78-97,dubaspylyp@example.net
Шелест,Анжела,Олександрівна,female,1976-03-29,Менеджер з продажу,село Карлівка,"провулок Урожайна, буд. 99, Святогірськ, 11291",345 78 72,rostyslav26@example.org
Мірошниченко,Святослава,Павлівна,female,1977-09-09,Системний адміністратор,хутір Українка ,"провулок Мазепи Івана, буд. 91, Олександрівськ, 50635",343 61 13,trokhymshablii@example.com
Ісаєвич,Пилип,Костянтинович,male,1949-11-10,Менеджер з маркетингу,хутір Полонне,"шосе Дніпропетровська дорога, буд. 06 кв. 7, Залізне, 73166",+380 (26) 031-54-46,shyianlarysa@example.org
Ванченко,Богдан,Костянтинович,male,2002-10-03,Менеджер з продукту,селище Новояворівськ,"вулиця Красний, буд. 904 кв. 805, Перемишляни, 47736",041 101-46-63,fiaremenko@example.net
Їжак,Христина,Олексіївна,female,1971-07-19,Бухгалтер,місто Докучаєвськ,"набережна Степова, буд. 370 кв. 47, Волочиськ, 83226",672 36 90,mariana21@example.org
Бабій,Світлана,Захарівна,female,1940-02-26,Менеджер з продукту,хутір Українськ,"вулиця 3-тя Лінія Марії Демченко, буд. 007, Роздільна, 42508",513-82-02,wiemets@example.net
Павленко,Лариса,Володимирівна,female,1961-02-24,Бухгалтер,селище Біляївка,"шосе Горбиста, буд. 880, Селидове, 56087",086 404-16-78,kashchenkomarko@example.com
Корж,Єлисавета,Володимирівна,female,1992-08-12,Аналітик даних,місто Борзна,"шосе Строганов міст, буд. 2, Червоноград, 83971",+380 97 477-99-28,jkybkalo@example.net
Товстуха,Володимира,Олегівна,female,1948-03-18,Дизайнер,хутір Буськ,"проспект Вєтрова, буд. 562, Петрово-Красносілля, 14994",+380 76 857 18 09,ivan82@example.org
Вертипорох,Аарон,Тарасович,male,1974-02-03,Менеджер з продажу,село Новояворівськ,"узвіз Молодогвардійська, буд. 15, Карлівка, 38689",020 042 69 88,spasadamchuk@example.org
Рябченко,Михайлина,Володимирівна,female,2003-04-20,Асистент керівника,місто Тальне,"узвіз Польова, буд. 0 кв. 42, Дебальцеве, 39719",+380 87 092-88-98,panas95@example.com
Нестайко,Омелян,Данилович,male,1939-07-07,HR-менеджер,село Південне ,"провулок Старокінний, буд. 6, Стрий, 76022",+380 (67) 287-85-97,viacheslav42@example.net
Тимченко,Павло,Ігорович,male,1995-09-24,Менеджер з закупівель,село Коростишів,"парк Тургенєва, буд. 4 кв. 73, Херсон, 76870",037 502-81-42,wbatiuk@example.org
Джус,Мілена,Кирилівна,female,1958-10-12,Дизайнер,місто Кипуче,"проспект Рекордний, буд. 60 кв. 2, Красноград, 18568",263-27-43,ubabiak@example.com
Чалий,Давид,Васильович,male,1998-01-20,Менеджер з продукту,селище Вишневе ,"шосе Гаріна, буд. 51 кв. 90, Горішні Плавні, 11891",033 496 84 10,zdarahan@example.org
Зінченко,Ярема,Євгенович,male,1957-10-22,Асистент керівника,селище Горлівка,"парк Вокзальна, буд. 02 кв. 212, Дніпро , 75820",547-55-99,akulenkoliza@example.org
Хмара,Анжела,Тарасівна,female,1999-12-26,Дизайнер,селище Черкаси,"узвіз Космонавтів, буд. 8 кв. 170, Білопілля, 27345",+380 10 393-15-93,dhaidabura@example.org
Бездітко,Олена,Андріївна,female,1997-02-07,Копірайтер,селище Кальміуське,"сквер Тупиковий 1-й, буд. 2 кв. 2, Тульчин, 19250",259 06 39,valentyna75@example.com
Бараник,Ліза,Тимофіївна,female,1982-12-03,Кадровий менеджер,село Алупка,"проспект Студентський, буд. 008, Тульчин, 46857",038 491 23 06,tsymbalalevtyn@example.org
Рудько,Євген,Олександрович,male,2003-04-15,Інженер з якості,хутір Перемишляни,"сквер Платанова, буд. 2, Чистякове, 77534",009 997 86 58,marianatkachenko@example.com
Лазаренко,Георгій,Григорійович,male,1949-03-18,Тестувальник,хутір Хмільник,"узвіз Байдарочний, буд. 9 кв. 410, Красилів, 62951",+380 (87) 266-42-21,vadym16@example.org
Гриценко,Орина,Денисівна,female,1945-07-13,HR-менеджер,хутір Жидачів,"узвіз Туристська, буд. 4 кв. 15, Торецьк, 85563",+380 (08) 296-88-28,livanchenko@example.org
Іващенко,Трохим,Олександрович,male,1992-02-06,Менеджер з закупівель,селище Березань ,"узвіз Юхима Фесенка, буд. 2 кв. 403, Ворожба, 02625",014 674-62-55,mykytiukiosyp@example.org
Жученко,Розалія,Григоріївна,female,1985-04-27,Аудитор,селище Федорівка,"проспект Керченський 1-й, буд. 5 кв. 884, Оріхів, 77627",+380 29 847 60 47,riabetsliza@example.net
Піддубний,Аніта,Станіславівна,female,1980-06-06,Офіс-менеджер,село Новий Буг,"площа Лиманчик 2-й Лінія 2-га, буд. 33 кв. 06, Гайсин, 14781",035 860 54 52,shchyrytsiasymon@example.org
Сиротенко,Богуслав,Борисович,male,1940-01-07,Аналітик даних,село Сарни,"проспект Салтикова-Щедріна, буд. 2 кв. 22, Єнакієве, 74261",+380 24 288-46-40,zorian87@example.net
Бабак,Амалія,Олександрівна,female,1961-05-24,Асистент керівника,селище Южноукраїнськ,"узвіз 3-тя Суворовська, буд. 074, Люботин, 30613",055 846 87 87,nazar15@example.net
Ірванець,Феофан,Ігорович,male,1996-03-02,Аналітик даних,село Білогірськ,"набережна Жуковського, буд. 95 кв. 63, Копичинці, 95025",000 054-81-38,ustymkovaliuk@example.org
Єрошенко,Климент,Костянтинович,male,1957-07-21,Асистент керівника,місто Миргород,"провулок Прорізний, буд. 157 кв. 0, Жидачів, 68763",014 137-85-59,bohdanna79@example.com
Чумаченко,Розалія,Назарівна,female,1972-01-04,Менеджер з продажу,хутір Буча,"провулок Обривиста, буд. 0, Володимир-Волинський, 49147",+380 56 326-11-41,klavdiiavlasenko@example.com
Мазур,Олександр,Давидович,male,1952-05-20,Менеджер з продажу,хутір Бережани,"площа Пироговський, буд. 84 кв. 374, Теплодар, 98360",+380 94 950-19-45,solomon56@example.net
Яременко,Нестор,Тарасович,male,1956-06-23,Менеджер з продукту,місто Миколаївка ,"вулиця 8-ма Лінія 6-й ст. Люстдорфської дороги, буд. 70, Південне , 54593",+380 76 780-74-14,shvaikamaryna@example.com
Демʼянюк,Яків,Максимович,male,1954-09-23,Менеджер з продажу,селище Кіцмань,"провулок Туристський, буд. 4 кв. 08, Городенка, 90250",+380 96 587-56-83,varvaratarasenko@example.net
Бевз,Володимир,Михайлович,male,2001-09-09,Інженер з якості,село Оріхів,"шосе Михайла Жванецького, буд. 0 кв. 38, Зимогір'я, 97770",006 127-39-09,olhapiatachenko@example.com
Джус,Одарка,Павлівна,female,1979-10-07,Системний адміністратор,місто Новогродівка,"проспект Пересипський 2-й, буд. 2 кв. 00, Полонне, 51545",040 766 82 45,tarasenkodavyd@example.net
Симоненко,Христина,Станіславівна,female,1952-11-06,Фінансовий аналітик,хутір Вугледар,"провулок Василя Кандинського 1-й, буд. 72, Радехів, 31165",093 053 12 28,kyrylonalyvaiko@example.net
Чумак,Франц,Борисович,male,1978-12-12,Дизайнер,місто Тиврів,"площа Деревообробний 2-й, буд. 78 кв. 40, Решетилівка, 82793",042 009-90-07,fkhudobiak@example.com
Давимука,Августин,Захарович,male,1938-03-31,Менеджер з маркетингу,селище Овруч,"проспект Басейний 2-й, буд. 34 кв. 4, Устилуг, 28761",096 641 38 04,opanaspavlychenko@example.com
Товстуха,Віктор,Васильович,male,1968-01-25,Тестувальник,хутір Вижниця,"площа Дубова, буд. 525, Першотравенськ, 45125",+380 06 753-90-01,eadamenko@example.com
Базавлученко,Хома,Денисович,male,1949-06-26,Асистент керівника,село Балаклія,"шосе Ямчитського, буд. 01, Іловайськ, 72212",+380 61 521 23 63,tartiushenko@example.org
Гоголь,Амвросій,Марківич,male,1991-10-05,HR-менеджер,село Волноваха,"провулок Грибоєдова, буд. 7, Липовець, 52796",001 023-39-96,oberemkomaksym@example.com
Терещенко,Альбіна,Олексіївна,female,2004-02-04,Менеджер з продукту,селище Південне ,"узвіз Путьова, буд. 042, Сколе, 66486",+380 (64) 691-50-58,klyment69@example.org
Бгиденко,Борислав,Павлович,male,1956-07-26,Менеджер з закупівель,селище Заводське,"вулиця Аеропортівський 2-й, буд. 2 кв. 4, Червоноград, 82715",174-70-27,aieromenko@example.org
Шухевич,Захар,Олексійович,male,1990-05-04,Менеджер з закупівель,хутір Чорнобиль,"сквер Бреуса, буд. 51 кв. 4, Богуслав, 99714",+380 (10) 118-06-30,yovcharenko@example.org
Овсієнко,Еріка,Андріївна,female,1979-01-22,Аудитор,хутір Дружба ,"провулок Наявний 7-й, буд. 16, Ужгород, 25797",905-76-04,ezinchuk@example.org
Приймак,Тарас,Кирилович,male,1989-08-23,Тестувальник,місто Борзна,"узвіз Палія Семена, буд. 07, Сквира, 55376",020 028-17-90,ckarpa@example.com
Чорновіл,Прохір,Марківич,male,2000-08-12,Копірайтер,селище Вільногірськ,"вулиця Усатівська, буд. 388 кв. 979, Суходільськ, 59545",049 999-06-34,adam70@example.com
Сірченко,Назар,Григорійович,male,1966-07-31,Копірайтер,село Новий Калинів,"проспект Катаєва, буд. 502 кв. 731, Джанкой, 76676",037 915 56 98,yshvachko@example.org
Деревʼянко,Остап,Кирилович,male,1943-09-16,Архітектор,село Жашків,"сквер Панченка, буд. 27, Мала Виска, 22189",+380 00 433 26 91,zhuchenkoemiliia@example.net
Андрієнко,Альберт,Вікторович,male,1975-10-02,Офіс-менеджер,селище Вижниця,"проспект Літня, буд. 90 кв. 90, Нова Одеса, 51227",+380 86 759-70-16,jgereta@example.net
Данилюк,Ігор,Максимович,male,1947-05-03,Менеджер з маркетингу,хутір Тячів,"набережна Кавунова, буд. 7, Гребінка, 21232",952-25-29,semenbabak@example.org
Савенко,Богданна,Олегівна,female,1972-02-03,Асистент керівника,село Канів,"проспект Лінія 28-ма, буд. 66 кв. 4, Армянськ, 95368",878-11-96,orynahavryliv@example.com
Наливайко,Давид,Кирилович,male,2001-08-09,PR-менеджер,місто Борщів,"шосе Деревообробний 5-й, буд. 3, Павлоград, 73666",070 377 85 63,martaudovenko@example.org
Лавренко,Теодор,Назарович,male,1940-01-01,Дизайнер,місто Сніжне,"набережна Рішельєвська, буд. 81, Добромиль, 63289",+380 06 160-17-39,hutsuliakvalentyna@example.net
Рубан,Сергій,Леонідович,male,2000-11-16,Програміст,селище Новодністровськ,"набережна Чорноморський, буд. 079 кв. 32, Вугледар, 54790",+380 39 204 16 12,pteslia@example.com
Сіробаба,Мирослав,Станіславович,male,1994-09-30,Менеджер з маркетингу,місто Мар'їнка,"узвіз Стеценко, буд. 522 кв. 793, Борзна, 08009",+380 80 926 29 48,zakhar88@example.com
Василенко,Валентина,Григоріївна,female,1984-08-10,Асистент керівника,село Свалява,"сквер Круговий, буд. 6, Очаків, 54684",025 374 62 40,mreva@example.net
Оліфіренко,Григорій,Петрович,male,1989-10-17,Аудитор,селище Мар'їнка,"провулок Церковна, буд. 44 кв. 6, Голубівка, 54198",065 255 76 05,vitalii07@example.net
Жученко,Марина,Олексіївна,female,1971-08-22,Офіс-менеджер,село Первомайський ,"набережна Державіна, буд. 2, Біляївка, 23202",169-49-08,verhundmytro@example.com
Безбородьки,Прохір,Федорович,male,1978-04-01,Архітектор,село Заводське,"вулиця Західний 1-й, буд. 4 кв. 750, Южне, 30920",+380 04 454-43-75,ihnattalan@example.org
Шморгун,Одарка,Кирилівна,female,1955-05-18,Дизайнер,місто Нова Одеса,"сквер Сумський, буд. 11 кв. 9, Яворів, 84095",+380 91 305 17 33,vakarchukdemyd@example.org
Яценко,Оксенія,Романівна,female,1978-02-25,Аудитор,хутір Глобине,"парк Ламаний, буд. 94, Світлодарськ, 96781",+380 (02) 367-67-02,batiukiakiv@example.org
Засядько,Михайло,Зеновійович,male,1949-08-13,Менеджер з продажу,місто Часів Яр,"сквер Пресича Олександра, буд. 30, Снятин, 52651",090 510 20 01,borys17@example.org
Лисенко,Христина,Олегівна,female,1979-08-26,Менеджер з продажу,хутір Носівка,"набережна Гвоздичний, буд. 05, Армянськ, 16283",023 886-10-37,ekozak@example.org
Романець,Маруся,Марківна,female,2005-01-03,Бухгалтер,хутір Мар'їнка,"узвіз Самодіяльна, буд. 146 кв. 37, Перевальськ, 41376",+380 79 202-87-80,romantymchenko@example.net
Габелко,Ірина,Тимофіївна,female,1961-05-18,HR-менеджер,місто Мерефа,"площа Виноградна, буд. 895 кв. 01, Кодима, 71603",641 33 37,mykhailynahres@example.org
Павличенко,Пилип,Михайлович,male,2001-02-03,Аудитор,село Івано-Франківськ,"парк Макарова, буд. 926, Заводське, 06799",+380 83 686 37 39,klavdiia06@example.org
Павленко,Аркадій,Давидович,male,1942-09-09,Аудитор,хутір Вашківці,"сквер ім. С.Ю. Вітте, буд. 0 кв. 857, Тлумач, 42660",+380 32 121-49-35,oleksa88@example.com
Захаренко,Демид,Сергійович,male,1965-10-30,Асистент керівника,хутір Одеса,"площа Палубна, буд. 61 кв. 32, Горішні Плавні, 95341",096 538 95 99,kdavymuka@example.net
Уманець,Максим,Федорович,male,1979-12-10,Офіс-менеджер,місто Гірське,"площа 2-га Лінія 6-й ст. Люстдорфської дороги, буд. 831, Барвінкове, 20522",009 891 15 27,marianapetrenko@example.net
Конопленко,Віталій,Давидович,male,1984-12-01,Інженер з якості,селище Борщів,"узвіз Варненська, буд. 142 кв. 71, Городенка, 01936",+380 55 773-93-48,bohodarhavriushenko@example.com
Євдокименко,Орхип,Захарович,male,1941-01-29,Офіс-менеджер,селище Чугуїв,"площа Різдвяна, буд. 9, Судова Вишня, 16390",+380 (46) 952-20-92,bohdan20@example.org
Чубай,Леон,Назарович,male,2007-01-06,Архітектор,хутір Березне,"набережна Тимірязєва, буд. 94, Чорноморськ, 63609",084 679-48-64,levkohunko@example.org
Вітер,Марина,Юріївна,female,1995-08-27,Тестувальник,село Тячів,"шосе Аеропортівський 1-й, буд. 8, Рені, 82164",+380 (35) 793-22-94,odarkatsiupa@example.com
